method,K,p1,p2,p3,p4,p5,p6,n_trials,T_max,asc_confidence,delta,epsilon,seed,include_final_wasteful,d_hat,lower_bound,empirical_mean,empirical_sem,n_valid,n_hit_cap,tilde_gap
ASC,2,0.55,0.45,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,15.112,5.289781127635112,45.478,4.569967189829279,1000,0,0.10000000000000003
PPR-1v1,2,0.55,0.45,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,90.12,7.964324785332752,46.88,7.274789355037035,1000,1,0.10000000000000003
ASC,2,0.5710526315789474,0.42894736842105263,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,12.901,3.9098910270511817,22.087,2.103270114886858,1000,0,0.14210526315789473
PPR-1v1,2,0.5710526315789474,0.42894736842105263,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,59.302,5.192160384378339,22.897,2.9098652385817987,1000,0,0.14210526315789473
ASC,2,0.5921052631578947,0.40789473684210525,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,10.986,2.947296459479082,13.76,1.1914923642449642,1000,0,0.18421052631578944
PPR-1v1,2,0.5921052631578947,0.40789473684210525,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,44.748,3.6899525844626155,17.283,1.7837883315606178,1000,0,0.18421052631578944
ASC,2,0.6131578947368421,0.3868421052631579,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,9.455,2.2649915937992207,10.479,0.8033111899306943,1000,0,0.22631578947368425
PPR-1v1,2,0.6131578947368421,0.3868421052631579,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,34.89,2.755176996328957,11.857,1.090373084987182,1000,0,0.22631578947368425
ASC,2,0.6342105263157896,0.36578947368421055,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,8.811,1.85117595577165,8.072,0.6215634779788441,1000,0,0.268421052631579
PPR-1v1,2,0.6342105263157896,0.36578947368421055,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,28.667,2.13228402371181,8.368,0.7816646183470093,1000,0,0.268421052631579
ASC,2,0.6552631578947368,0.3447368421052632,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,7.881,1.4899242971753632,6.417,0.466086201627282,1000,0,0.3105263157894736
PPR-1v1,2,0.6552631578947368,0.3447368421052632,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,23.993,1.6852684910488869,7.594,0.6228073964341247,1000,0,0.3105263157894736
ASC,2,0.6763157894736842,0.3236842105263158,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,7.227,1.2241168496221304,4.494,0.34760724214951966,1000,0,0.3526315789473684
PPR-1v1,2,0.6763157894736842,0.3236842105263158,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,20.492,1.351541726941432,6.344,0.5183245357151486,1000,0,0.3526315789473684
ASC,2,0.6973684210526316,0.3026315789473684,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,6.554,1.0041966045409285,4.754,0.31499000413140527,1000,0,0.3947368421052632
PPR-1v1,2,0.6973684210526316,0.3026315789473684,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,17.883,1.096227440010227,5.29,0.38177696846935866,1000,0,0.3947368421052632
ASC,2,0.718421052631579,0.28157894736842104,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,6.254,0.8375770327224407,3.518,0.2111214064187908,1000,0,0.4368421052631579
PPR-1v1,2,0.718421052631579,0.28157894736842104,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,16.152,0.8955051692517823,4.628,0.3239978249781788,1000,0,0.4368421052631579
ASC,2,0.7394736842105263,0.26052631578947366,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.974,0.6960890060395392,3.114,0.18291654507578714,1000,0,0.4789473684210526
PPR-1v1,2,0.7394736842105263,0.26052631578947366,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,14.646,0.7346215075990555,3.726,0.2527940442906613,1000,0,0.4789473684210526
ASC,2,0.7605263157894737,0.23947368421052634,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.695,0.5795163797752338,2.547,0.12615746789907725,1000,0,0.5210526315789474
PPR-1v1,2,0.7605263157894737,0.23947368421052634,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,13.153,0.6037950967833948,2.978,0.1989399233263477,1000,0,0.5210526315789474
ASC,2,0.781578947368421,0.21842105263157896,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.414,0.4800937606592272,2.293,0.10858610381601295,1000,0,0.5631578947368421
PPR-1v1,2,0.781578947368421,0.21842105263157896,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,12.015,0.49598643505242157,2.75,0.14815346587052713,1000,0,0.5631578947368421
ASC,2,0.8026315789473684,0.19736842105263158,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.269,0.3967104891613244,2.079,0.09633295925610838,1000,0,0.6052631578947367
PPR-1v1,2,0.8026315789473684,0.19736842105263158,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,11.314,0.4061678322887322,2.253,0.11630355763052788,1000,0,0.6052631578947367
ASC,2,0.8236842105263158,0.1763157894736842,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.063,0.32494056409450967,1.88,0.08125393653357481,1000,0,0.6473684210526316
PPR-1v1,2,0.8236842105263158,0.1763157894736842,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,10.545,0.3306076596855682,2.148,0.10364766682776241,1000,0,0.6473684210526316
ASC,2,0.8447368421052631,0.15526315789473688,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.878,0.26342388277973705,1.667,0.05622519250542654,1000,0,0.6894736842105262
PPR-1v1,2,0.8447368421052631,0.15526315789473688,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,9.911,0.26656298134688616,1.965,0.1066261888287495,1000,0,0.6894736842105262
ASC,2,0.8657894736842104,0.1342105263157895,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.759,0.21023400830795136,1.536,0.06018576514697081,1000,0,0.7315789473684209
PPR-1v1,2,0.8657894736842104,0.1342105263157895,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,9.364,0.2118844596426963,1.881,0.09438086006572914,1000,0,0.7315789473684209
